地名,センター,燃やして処理するごみ,燃やさないで処理するごみ,衣類,資源物,有害ごみ,粗大ごみ（ふとん類含む）,家電４品目,直接持ち込みごみ,受け入れしないごみ, ,
山家地区（橋上町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
山家地区（和木町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
山家地区（下原町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
山家地区（上原町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
山家地区（下替地町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,火3:11 12; 水3:8 9; 木3:2; 金3:10; 火4:5 6 7; 水4:1; 木4:4 3,,,,,,
綾部地区（並松町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,,,,,,
綾部地区（上町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,火1:4; 水1:5; 木3:11 12; 金3:9; 木4:10 2; 金4:6 7 8 1; 金5:5,,,,,,
綾部地区（川糸町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水3:4 6 7 8 9 10 11 12 2 3; 水4:5 1,水4:4 6 7 8 9 10 11 12 2 3; 水5:5 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,,,,,,
綾部地区（味方町）,（火・金コース）：クリーンセンターＢ,火 金 月5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,水3:11 12; 木3:9; 金3:2; 火4:10; 木4:6 7 8 1; 金4:4 3; 木5:5,,,,,,
綾部地区（野田町）,（月・木コース）：クリーンセンターＡ,月 木 日5:12,水1:4 6 7 8 9 10 11 12 2 3; 水2:5 1,水2:4 6 7 8 9 10 11 12 2 3; 水3:5 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,火1:10; 水1:3; 木1:6 7 8; 金1:4; 木2:5; 木4:11 12; 水5:10; 金5:8 1,,,,,,
